wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run o29fmb1v
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260618_230250-o29fmb1v
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.95_pruning_ratio_0.5_delta_t_8640
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/7yfjydkv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/o29fmb1v
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 0
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: rigl
sparsity: 0.95
num_mask_updates: 10
t_end_ratio: 0.8
pruning_ratio: 0.5
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] rigl | sparsity=0.95 | total_steps=108000 | t_end=86400 | delta_t=8640

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:02<?, ?it/s, acc=0.15, lr=0.0001, test_acc=0.1]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:02<04:20,  2.63s/it, acc=0.15, lr=0.0001, test_acc=0.1]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:02<04:20,  2.63s/it, acc=0.15, lr=0.0001, test_acc=0.1]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:04<04:20,  2.63s/it, acc=0.282, lr=0.0002, test_acc=0.129]
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:04<03:56,  2.41s/it, acc=0.282, lr=0.0002, test_acc=0.129]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:04<03:56,  2.41s/it, acc=0.282, lr=0.0002, test_acc=0.129]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:07<03:56,  2.41s/it, acc=0.378, lr=0.0003, test_acc=0.335]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:07<03:47,  2.34s/it, acc=0.378, lr=0.0003, test_acc=0.335]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:07<03:47,  2.34s/it, acc=0.378, lr=0.0003, test_acc=0.335]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:09<03:47,  2.34s/it, acc=0.454, lr=0.0004, test_acc=0.396]
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:09<03:41,  2.31s/it, acc=0.454, lr=0.0004, test_acc=0.396]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:09<03:41,  2.31s/it, acc=0.454, lr=0.0004, test_acc=0.396]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:11<03:41,  2.31s/it, acc=0.532, lr=0.0005, test_acc=0.465]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:11<03:37,  2.29s/it, acc=0.532, lr=0.0005, test_acc=0.465]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:11<03:37,  2.29s/it, acc=0.532, lr=0.0005, test_acc=0.465]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:13<03:37,  2.29s/it, acc=0.644, lr=0.0006, test_acc=0.407]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:13<03:34,  2.28s/it, acc=0.644, lr=0.0006, test_acc=0.407]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:13<03:34,  2.28s/it, acc=0.644, lr=0.0006, test_acc=0.407]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:16<03:34,  2.28s/it, acc=0.766, lr=0.0007, test_acc=0.41] 
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:16<03:31,  2.27s/it, acc=0.766, lr=0.0007, test_acc=0.41]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:16<03:31,  2.27s/it, acc=0.766, lr=0.0007, test_acc=0.41]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:18<03:31,  2.27s/it, acc=0.866, lr=0.0008, test_acc=0.368]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:18<03:28,  2.27s/it, acc=0.866, lr=0.0008, test_acc=0.368]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:18<03:28,  2.27s/it, acc=0.866, lr=0.0008, test_acc=0.368]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:20<03:28,  2.27s/it, acc=0.916, lr=0.0009, test_acc=0.391]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:20<03:26,  2.27s/it, acc=0.916, lr=0.0009, test_acc=0.391]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:20<03:26,  2.27s/it, acc=0.916, lr=0.0009, test_acc=0.391]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:22<03:26,  2.27s/it, acc=0.92, lr=0.001, test_acc=0.35]   
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:22<03:23,  2.26s/it, acc=0.92, lr=0.001, test_acc=0.35]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:22<03:23,  2.26s/it, acc=0.92, lr=0.001, test_acc=0.35]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:25<03:23,  2.26s/it, acc=0.913, lr=0.001, test_acc=0.414]
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:25<03:21,  2.26s/it, acc=0.913, lr=0.001, test_acc=0.414]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:25<03:21,  2.26s/it, acc=0.913, lr=0.001, test_acc=0.414]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:27<03:21,  2.26s/it, acc=0.912, lr=0.001, test_acc=0.393]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:27<03:18,  2.26s/it, acc=0.912, lr=0.001, test_acc=0.393]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:27<03:18,  2.26s/it, acc=0.912, lr=0.001, test_acc=0.393]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:29<03:18,  2.26s/it, acc=0.929, lr=0.001, test_acc=0.433]
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:29<03:16,  2.26s/it, acc=0.929, lr=0.001, test_acc=0.433]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:29<03:16,  2.26s/it, acc=0.929, lr=0.001, test_acc=0.433]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:31<03:16,  2.26s/it, acc=0.927, lr=0.001, test_acc=0.441]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:31<03:14,  2.26s/it, acc=0.927, lr=0.001, test_acc=0.441]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:31<03:14,  2.26s/it, acc=0.927, lr=0.001, test_acc=0.441]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:34<03:14,  2.26s/it, acc=0.941, lr=0.001, test_acc=0.394]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:34<03:11,  2.26s/it, acc=0.941, lr=0.001, test_acc=0.394]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:34<03:11,  2.26s/it, acc=0.941, lr=0.001, test_acc=0.394]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:36<03:11,  2.26s/it, acc=0.936, lr=0.001, test_acc=0.422]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:36<03:09,  2.26s/it, acc=0.936, lr=0.001, test_acc=0.422]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:36<03:09,  2.26s/it, acc=0.936, lr=0.001, test_acc=0.422]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:38<03:09,  2.26s/it, acc=0.954, lr=0.001, test_acc=0.359]
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:38<03:07,  2.26s/it, acc=0.954, lr=0.001, test_acc=0.359]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:38<03:07,  2.26s/it, acc=0.954, lr=0.001, test_acc=0.359]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:41<03:07,  2.26s/it, acc=0.938, lr=0.001, test_acc=0.36] 
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:41<03:04,  2.26s/it, acc=0.938, lr=0.001, test_acc=0.36]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:41<03:04,  2.26s/it, acc=0.938, lr=0.001, test_acc=0.36]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:43<03:04,  2.26s/it, acc=0.943, lr=0.001, test_acc=0.443]
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [00:43<03:02,  2.25s/it, acc=0.943, lr=0.001, test_acc=0.443]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:43<03:02,  2.25s/it, acc=0.943, lr=0.001, test_acc=0.443]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:45<03:02,  2.25s/it, acc=0.959, lr=0.001, test_acc=0.426]
Iter 0 | Epoch 19:  20%|██        | 20/100 [00:45<03:00,  2.25s/it, acc=0.959, lr=0.001, test_acc=0.426]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:45<03:00,  2.25s/it, acc=0.959, lr=0.001, test_acc=0.426]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:47<03:00,  2.25s/it, acc=0.96, lr=0.001, test_acc=0.455] 
Iter 0 | Epoch 20:  21%|██        | 21/100 [00:47<02:58,  2.25s/it, acc=0.96, lr=0.001, test_acc=0.455]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:47<02:58,  2.25s/it, acc=0.96, lr=0.001, test_acc=0.455]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:50<02:58,  2.25s/it, acc=0.966, lr=0.001, test_acc=0.385]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [00:50<02:55,  2.26s/it, acc=0.966, lr=0.001, test_acc=0.385]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:50<02:55,  2.26s/it, acc=0.966, lr=0.001, test_acc=0.385]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:52<02:55,  2.26s/it, acc=0.964, lr=0.001, test_acc=0.437]
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [00:52<02:53,  2.26s/it, acc=0.964, lr=0.001, test_acc=0.437]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:52<02:53,  2.26s/it, acc=0.964, lr=0.001, test_acc=0.437]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:54<02:53,  2.26s/it, acc=0.96, lr=0.001, test_acc=0.454] 
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [00:54<02:51,  2.26s/it, acc=0.96, lr=0.001, test_acc=0.454]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:54<02:51,  2.26s/it, acc=0.96, lr=0.001, test_acc=0.454]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:56<02:51,  2.26s/it, acc=0.961, lr=0.001, test_acc=0.42]
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [00:56<02:49,  2.26s/it, acc=0.961, lr=0.001, test_acc=0.42]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:56<02:49,  2.26s/it, acc=0.961, lr=0.001, test_acc=0.42]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:59<02:49,  2.26s/it, acc=0.967, lr=0.001, test_acc=0.445]
Iter 0 | Epoch 25:  26%|██▌       | 26/100 [00:59<02:47,  2.26s/it, acc=0.967, lr=0.001, test_acc=0.445]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [00:59<02:47,  2.26s/it, acc=0.967, lr=0.001, test_acc=0.445]
